Trait,Axis #1,Axis #2,Axis #3,Axis #4,Axis #5,Axis #6,Axis #7,Axis #8,Time,t_sec
current,-2.0000000000000002e-11,-2.0000000000000002e-11,16.880043124668884,-2.0000000000000002e-11,0.2392878358323769,0.7437047512779198,2.2549736851525246,-2.0000000000000002e-11,2022-10-18 10:45:00.519000+00:00,0.0
current,-2.0000000000000002e-11,15.211444396708544,-2.0000000000000002e-11,-2.0000000000000002e-11,3.445816360495865,-2.0000000000000002e-11,-2.0000000000000002e-11,-2.0000000000000002e-11,2022-10-18 10:45:02.410000+00:00,1.891
current,3.5379896942303355,-2.0000000000000002e-11,-2.0000000000000002e-11,2.850385930935167,-2.0000000000000002e-11,0.6562478438291357,-2.0000000000000002e-11,0.15173191242509237,2022-10-18 10:45:04.301000+00:00,3.782
current,2.021010652260683,0.3262891285941443,4.1368678155275616,3.89696072335094,0.5280409386839505,-2.0000000000000002e-11,-2.0000000000000002e-11,0.12940978959880428,2022-10-18 10:45:06.192000+00:00,5.673
current,-2.0000000000000002e-11,2.6792517516504075,13.041654171754509,0.8195598545178313,-2.0000000000000002e-11,1.2178935724579056,-2.0000000000000002e-11,-2.0000000000000002e-11,2022-10-18 10:45:08.083000+00:00,7.564
current,0.6324819949551934,14.606861634957022,-2.0000000000000002e-11,0.1305474636656706,-2.0000000000000002e-11,2.7856254704450363,0.2858688056944477,-2.0000000000000002e-11,2022-10-18 10:45:09.974000+00:00,9.455
current,0.12836583948517033,11.055444634258741,-2.0000000000000002e-11,1.6822236063495892,2.2343581786795346,-2.0000000000000002e-11,-2.0000000000000002e-11,0.5372620299450064,2022-10-18 10:45:11.865000+00:00,11.346
current,4.849820600653496,0.08874145152626323,-2.0000000000000002e-11,0.9374314182896455,0.985109286124989,0.7520585153004979,2.5643999893063496,0.6257618209063467,2022-10-18 10:45:13.756000+00:00,13.237
current,1.3883832737954445,-2.0000000000000002e-11,2.1968581976823502,-2.0000000000000002e-11,-2.0000000000000002e-11,-2.0000000000000002e-11,-2.0000000000000002e-11,0.30409148291152927,2022-10-18 10:45:15.647000+00:00,15.128
current,0.9673068895036201,4.672940898394093,7.538747086523218,0.14112686456251894,2.174401137843766,1.3072938196977453,-2.0000000000000002e-11,0.2976787040369383,2022-10-18 10:45:17.538000+00:00,17.019
current,-2.0000000000000002e-11,-2.0000000000000002e-11,-2.0000000000000002e-11,2.8281219185124646,-2.0000000000000002e-11,2.627837192863698,-2.0000000000000002e-11,-2.0000000000000002e-11,2022-10-18 10:45:19.429000+00:00,18.91
current,-2.0000000000000002e-11,-2.0000000000000002e-11,13.239875419107898,-2.0000000000000002e-11,4.236415800884622,-2.0000000000000002e-11,1.0050259523904257,-2.0000000000000002e-11,2022-10-18 10:45:21.320000+00:00,20.801
current,-2.0000000000000002e-11,0.3418726578887026,2.7769507040523598,-2.0000000000000002e-11,1.0287947989095665,-2.0000000000000002e-11,6.787276038797458,-2.0000000000000002e-11,2022-10-18 10:45:23.211000+00:00,22.692
current,0.07044523075781384,-2.0000000000000002e-11,5.577615981128496,0.8811443979641269,-2.0000000000000002e-11,0.6718000366952729,-2.0000000000000002e-11,0.16689824508767803,2022-10-18 10:45:25.102000+00:00,24.583
