Trait,Axis #1,Axis #2,Axis #3,Axis #4,Axis #5,Axis #6,Axis #7,Axis #8,Time
current,-0.47218600000000005,-1.0342646,15.327131140149506,-0.313326,0.7221146751679521,1.1302792563153554,2.25086869227588,-0.1181128,2022-10-18T10:45:00.519Z
current,-0.47218600000000005,13.444584947808941,-0.8371111999999999,-0.313326,3.3691441161424387,-0.4186284,-0.1621696,-0.1181128,2022-10-18T10:45:02.410Z
current,3.138982858013171,-1.0342646,-0.8371111999999999,2.628644260682656,-0.41501520000000003,1.0597630569497751,0.3094045626062084,0.21733295611837422,2022-10-18T10:45:04.301Z
current,2.016026160491644,2.0292557318643154,4.702484997710096,3.4577811034659502,0.9604839765921657,-0.4186284,0.5042935235615092,0.2012564793066473,2022-10-18T10:45:06.192Z
current,-0.47218600000000005,3.8337275355637046,12.126867203381003,1.0197456578834045,-0.41501520000000003,1.5126160485331588,-0.1621696,-0.1181128,2022-10-18T10:45:08.083Z
current,0.9881559577515812,12.980934341593068,-0.8371111999999999,0.47388351546446617,-0.41501520000000003,2.7766728085435672,0.8248115206405121,-0.025377536181943966,2022-10-18T10:45:09.974Z
current,0.6149796662855908,10.257375633884065,0.649450096527886,1.7031810938987797,2.369070220304015,-0.07523485092425375,-0.1621696,0.49499319671305797,2022-10-18T10:45:11.865Z
current,4.110076895324924,1.8470819560877552,-0.8371111999999999,1.1131280486575037,1.3377996196335622,1.1370148671030351,2.47496015877645,0.5587310790060948,2022-10-18T10:45:13.756Z
current,1.5477183381497994,-1.0342646,3.0849983664347254,-0.313326,-0.41501520000000003,-0.4186284,-0.1621696,0.32706289179838394,2022-10-18T10:45:15.647Z
current,1.2360129468250114,5.362674836038716,7.538808174375558,0.48226492415280653,2.319574932466947,1.5846991559925496,0.10494844652981217,0.32244438433480693,2022-10-18T10:45:17.538Z
current,0.46438175002197724,-1.0342646,-0.8371111999999999,2.611005852896016,-0.247161336063212,2.649448670804726,-0.1621696,-0.08746454653199723,2022-10-18T10:45:19.429Z
current,-0.47218600000000005,-0.24129352845491425,12.292134537459972,-0.313326,4.021793852026706,0.3408500965980258,1.3456366007453742,-0.1181128,2022-10-18T10:45:21.320Z
current,-0.47218600000000005,2.04120663960021,3.5686515737825752,-0.313326,1.3738625573543422,0.4397358074656783,5.533234371657063,-0.1181128,2022-10-18T10:45:23.211Z
current,0.5721034407772557,-1.0342646,5.903711463526495,1.0685353041536412,-0.41501520000000003,1.0723027358009019,0.3284980322233625,0.22825580594168282,2022-10-18T10:45:25.102Z
current,2.0266757574638437,-1.0342646,5.544264036110989,2.527331149683552,3.134017351252453,0.5761759275044549,4.024519258086508,-0.010862593721139097,2022-10-18T10:45:26.993Z
